mac p pairid sleaf tleaf time err_pol err_ionic err_sum pareto
0.2 6 0 32 32 2.52821 4.42468e-09 4.17881e-07 2.36881e-10 0
0.2 6 1 64 64 3.09795 2.88485e-09 1.22918e-07 1.47579e-10 0
0.2 6 2 128 128 4.0814 1.15013e-09 5.10273e-08 5.89298e-11 0
0.2 6 3 256 256 5.11019 2.78869e-10 4.41774e-09 1.39233e-11 0
0.2 7 0 32 32 3.16748 3.96474e-10 1.84302e-08 2.03528e-11 0
0.2 7 1 64 64 3.29965 3.54161e-10 5.15801e-09 1.76617e-11 0
0.2 7 2 128 128 4.07333 1.88526e-10 2.38072e-09 9.38488e-12 0
0.2 7 3 256 256 5.0317 4.94409e-11 3.48775e-10 2.44857e-12 0
0.2 8 0 32 32 4.36015 2.21031e-10 6.80102e-10 1.08436e-11 0
0.2 8 1 64 64 3.8323 5.07053e-13 6.29436e-10 3.93316e-15 1
0.2 8 2 128 128 4.45916 1.09049e-11 1.27644e-09 5.95099e-13 0
0.2 8 3 256 256 5.36163 8.59764e-12 6.99572e-11 4.26212e-13 0
0.2 9 0 32 32 5.94397 3.00553e-12 4.01529e-10 1.66265e-13 0
0.2 9 1 64 64 4.47122 7.80928e-12 5.48037e-10 4.09406e-13 0
0.2 9 2 128 128 4.71832 1.078e-12 4.94241e-11 5.08927e-14 0
0.2 9 3 256 256 5.38872 2.75874e-12 6.42311e-11 1.38733e-13 0
0.2 10 0 32 32 7.51286 3.21416e-12 1.12476e-10 1.52917e-13 0
0.2 10 1 64 64 5.0547 1.09011e-14 3.80022e-11 2.26455e-15 1
0.2 10 2 128 128 4.81956 4.41495e-13 1.25425e-11 2.1096e-14 1
0.2 10 3 256 256 5.41379 4.70867e-14 2.43599e-12 2.38373e-15 0
0.3 6 0 32 32 1.17367 3.84594e-08 3.76683e-06 2.06515e-09 0
0.3 6 1 64 64 1.57762 1.02226e-07 8.36744e-07 5.068e-09 0
0.3 6 2 128 128 2.28145 8.66134e-09 1.39893e-06 3.6192e-10 0
0.3 6 3 256 256 3.46355 1.13853e-08 3.29684e-08 5.61677e-10 0
0.3 7 0 32 32 1.55787 1.13525e-08 1.82421e-06 6.42297e-10 0
0.3 7 1 64 64 1.79875 2.43347e-10 3.92765e-08 1.3776e-11 1
0.3 7 2 128 128 2.37502 1.36393e-08 1.34586e-07 6.77238e-10 0
0.3 7 3 256 256 3.48264 7.47297e-09 3.09633e-07 3.81889e-10 0
0.3 8 0 32 32 2.22479 9.59809e-09 6.06637e-08 4.75016e-10 0
0.3 8 1 64 64 2.06995 5.53133e-09 7.57054e-08 2.7562e-10 0
0.3 8 2 128 128 2.48496 1.86203e-11 4.37581e-09 7.15239e-13 1
0.3 8 3 256 256 3.56332 1.43661e-10 4.53127e-09 6.86003e-12 0
0.3 9 0 32 32 2.98775 4.76055e-10 9.54115e-08 1.90419e-11 0
0.3 9 1 64 64 2.4517 1.05864e-09 1.42537e-08 5.27402e-11 0
0.3 9 2 128 128 2.68611 1.48218e-10 1.90667e-08 6.41713e-12 0
0.3 9 3 256 256 3.63614 1.03745e-10 1.50084e-09 5.17318e-12 0
0.3 10 0 32 32 3.94036 1.63164e-10 4.83655e-08 1.02481e-11 0
0.3 10 1 64 64 2.93132 1.35189e-10 1.04277e-09 6.69925e-12 0
0.3 10 2 128 128 2.88142 9.21579e-11 3.81175e-09 4.70919e-12 0
0.3 10 3 256 256 3.7693 2.03855e-11 1.33379e-11 1.00248e-12 0
0.4 6 0 32 32 0.679492 1.49291e-06 6.96761e-06 7.3772e-08 0
0.4 6 1 64 64 0.903638 4.18613e-07 3.4454e-05 2.21777e-08 0
0.4 6 2 128 128 1.30934 1.55459e-07 1.62489e-06 7.72327e-09 0
0.4 6 3 256 256 2.19566 3.41144e-07 1.29232e-05 1.73778e-08 0
0.4 7 0 32 32 0.866462 4.22943e-07 7.93067e-06 2.11731e-08 0
0.4 7 1 64 64 1.02052 8.24562e-08 8.47508e-06 4.44597e-09 0
0.4 7 2 128 128 1.36442 7.75733e-08 1.94906e-06 3.90613e-09 0
0.4 7 3 256 256 2.22904 6.08992e-08 2.18071e-06 3.09638e-09 0
0.4 8 0 32 32 1.24929 1.05116e-07 5.57821e-06 4.91569e-09 0
0.4 8 1 64 64 1.21358 4.93244e-08 4.25721e-06 2.62223e-09 0
0.4 8 2 128 128 1.48159 4.00064e-09 3.92305e-07 2.14844e-10 0
0.4 8 3 256 256 2.28883 5.05051e-08 1.40197e-06 2.54924e-09 0
0.4 9 0 32 32 1.73178 4.23411e-08 6.64907e-07 2.05268e-09 0
0.4 9 1 64 64 1.45165 1.09568e-09 7.717e-07 1.84805e-11 1
0.4 9 2 128 128 1.5892 4.49578e-09 8.23632e-08 2.17414e-10 0
0.4 9 3 256 256 2.40508 9.22085e-09 1.76976e-07 4.61796e-10 0
0.4 10 0 32 32 2.33998 1.17876e-08 6.11134e-07 5.51901e-10 0
0.4 10 1 64 64 1.8234 1.04488e-09 5.34783e-08 5.38637e-11 0
0.4 10 2 128 128 1.77151 2.18578e-09 1.0362e-07 1.12298e-10 0
0.4 10 3 256 256 2.52786 3.1919e-09 1.00744e-07 1.61668e-10 0
0.5 6 0 32 32 0.455885 2.6774e-06 0.000252051 1.43301e-07 1
0.5 6 1 64 64 0.573891 2.47948e-06 2.8908e-06 1.22124e-07 0
0.5 6 2 128 128 0.817274 8.50761e-09 3.41905e-05 1.15105e-09 1
0.5 6 3 256 256 1.37781 1.61699e-06 6.25169e-05 8.24269e-08 0
0.5 7 0 32 32 0.606645 1.14381e-06 9.63355e-05 5.18536e-08 1
0.5 7 1 64 64 0.668305 6.50575e-07 4.67881e-05 2.98607e-08 0
0.5 7 2 128 128 0.933118 4.95967e-07 1.0965e-05 2.38984e-08 0
0.5 7 3 256 256 1.46693 6.78203e-07 1.75465e-05 3.41735e-08 0
0.5 8 0 32 32 0.859987 4.981e-07 8.07936e-06 2.48777e-08 0
0.5 8 1 64 64 0.839073 3.47185e-07 2.78264e-05 1.58042e-08 0
0.5 8 2 128 128 0.982253 1.03273e-07 1.00891e-05 5.54426e-09 0
0.5 8 3 256 256 1.4859 7.32262e-08 2.17767e-06 3.5028e-09 0
0.5 9 0 32 32 1.11511 2.29471e-07 2.42483e-05 1.01769e-08 0
0.5 9 1 64 64 0.999314 1.23386e-07 7.32746e-06 5.73425e-09 0
0.5 9 2 128 128 1.09524 1.49557e-08 2.26214e-06 8.39678e-10 0
0.5 9 3 256 256 1.53707 2.37593e-08 1.55632e-07 1.16183e-09 0
0.5 10 0 32 32 1.48545 3.57354e-08 7.34032e-06 1.42122e-09 0
0.5 10 1 64 64 1.23856 7.56479e-09 2.05508e-06 4.66537e-10 1
0.5 10 2 128 128 1.20174 1.82587e-08 2.46928e-08 8.99473e-10 0
0.5 10 3 256 256 1.63942 8.86633e-10 1.08822e-07 4.86186e-11 1
0.6 6 0 32 32 0.361083 4.94099e-06 0.000747879 2.77433e-07 1
0.6 6 1 64 64 0.42941 1.31098e-05 0.000434345 6.64949e-07 0
0.6 6 2 128 128 0.588943 7.46626e-06 0.00020632 3.76816e-07 0
0.6 6 3 256 256 0.987894 2.13473e-06 0.000225649 1.15389e-07 0
0.6 7 0 32 32 0.468566 2.27427e-06 0.000606571 1.39742e-07 1
0.6 7 1 64 64 0.500075 1.30048e-06 2.47476e-05 6.28482e-08 1
0.6 7 2 128 128 0.643217 3.34271e-06 2.68276e-05 1.65695e-07 0
0.6 7 3 256 256 1.0449 2.27355e-06 6.30795e-05 1.14756e-07 0
0.6 8 0 32 32 0.660878 1.40622e-06 0.000436731 8.92362e-08 0
0.6 8 1 64 64 0.640177 5.36251e-07 0.000126678 3.21994e-08 1
0.6 8 2 128 128 0.740108 1.02127e-06 6.56503e-05 5.3261e-08 0
0.6 8 3 256 256 1.08232 2.03354e-07 1.69376e-05 1.07827e-08 0
0.6 9 0 32 32 0.87314 7.3775e-07 4.01693e-05 3.44536e-08 0
0.6 9 1 64 64 0.785384 4.996e-07 2.21779e-05 2.35624e-08 1
0.6 9 2 128 128 0.827672 1.04055e-06 7.23463e-06 5.15276e-08 0
0.6 9 3 256 256 1.13594 3.40995e-07 1.62169e-05 1.75216e-08 0
0.6 10 0 32 32 1.14948 6.89711e-07 2.15788e-05 3.29435e-08 0
0.6 10 1 64 64 0.964319 2.59226e-07 1.17152e-06 1.27003e-08 0
0.6 10 2 128 128 0.939775 2.87419e-07 1.42592e-05 1.47958e-08 0
0.6 10 3 256 256 1.20425 1.53284e-07 1.01396e-05 8.00715e-09 0
0.7 6 0 32 32 0.2884 1.80033e-05 6.8716e-05 8.88929e-07 1
0.7 6 1 64 64 0.343883 2.97625e-05 0.00194896 1.55381e-06 0
0.7 6 2 128 128 0.449106 9.90217e-06 0.000201823 4.96457e-07 0
0.7 6 3 256 256 0.714599 9.9933e-06 0.000530958 4.673e-07 0
0.7 7 0 32 32 0.388383 8.32263e-06 0.00157125 4.81611e-07 0
0.7 7 1 64 64 0.405621 2.97483e-06 0.000714692 1.13553e-07 1
0.7 7 2 128 128 0.494237 3.7758e-06 0.000156878 1.92973e-07 0
0.7 7 3 256 256 0.753791 4.52737e-06 0.000542004 2.47631e-07 0
0.7 8 0 32 32 0.54004 7.40398e-06 0.00128691 4.2336e-07 0
0.7 8 1 64 64 0.512393 7.03062e-06 0.000297445 3.59566e-07 0
0.7 8 2 128 128 0.576277 5.12802e-06 0.00011478 2.57571e-07 0
0.7 8 3 256 256 0.822664 2.89383e-06 4.3958e-05 1.44396e-07 0
0.7 9 0 32 32 0.706184 1.3745e-06 7.88192e-05 7.12447e-08 0
0.7 9 1 64 64 0.636625 5.95154e-06 0.000101759 2.88147e-07 0
0.7 9 2 128 128 0.64916 2.4881e-06 8.45978e-05 1.26299e-07 0
0.7 9 3 256 256 0.874068 2.82151e-06 5.46042e-05 1.41327e-07 0
0.7 10 0 32 32 0.92432 7.65431e-09 0.000775019 3.52032e-08 1
0.7 10 1 64 64 0.776081 4.21064e-06 7.41621e-05 2.03761e-07 0
0.7 10 2 128 128 0.749285 1.78657e-06 5.95231e-05 9.06328e-08 0
0.7 10 3 256 256 0.954719 1.62454e-06 2.51277e-06 7.9813e-08 0
0.8 6 0 32 32 0.263394 8.69861e-05 0.0105803 4.76549e-06 1
0.8 6 1 64 64 0.291627 0.000102934 0.00564535 5.32359e-06 0
0.8 6 2 128 128 0.36244 0.000101979 0.00195672 4.92761e-06 0
0.8 6 3 256 256 0.564951 3.31284e-05 0.000931423 1.58717e-06 0
0.8 7 0 32 32 0.33008 3.94149e-05 0.00377492 2.11253e-06 0
0.8 7 1 64 64 0.353261 7.9107e-06 0.00309863 2.46958e-07 1
0.8 7 2 128 128 0.410798 1.17841e-05 0.00386456 7.57198e-07 0
0.8 7 3 256 256 0.576566 1.5501e-05 3.06448e-05 7.61253e-07 0
0.8 8 0 32 32 0.44207 4.41287e-06 0.000744221 1.82949e-07 0
0.8 8 1 64 64 0.428553 1.73214e-05 3.06158e-05 8.50815e-07 0
0.8 8 2 128 128 0.458666 1.37298e-05 0.00293578 8.1029e-07 0
0.8 8 3 256 256 0.626406 4.96789e-06 0.000993467 2.90031e-07 0
0.8 9 0 32 32 0.592403 1.54281e-05 0.000491988 7.81657e-07 0
0.8 9 1 64 64 0.51945 1.35837e-06 0.000189737 5.8122e-08 0
0.8 9 2 128 128 0.528566 1.60107e-05 0.00221287 8.89322e-07 0
0.8 9 3 256 256 0.681046 5.27547e-06 0.000900282 3.00886e-07 0
0.8 10 0 32 32 0.767637 4.1109e-06 0.00509334 4.36085e-07 0
0.8 10 1 64 64 0.646919 2.59692e-06 5.72716e-05 1.30399e-07 0
0.8 10 2 128 128 0.619686 5.76325e-06 0.000788074 3.19734e-07 0
0.8 10 3 256 256 0.737256 2.42901e-06 0.000474443 9.77278e-08 0
