time err mac p sleaf tleaf
0.263394 8.69861e-05 0.8 6 32 32
0.2884 1.80033e-05 0.7 6 32 32
0.353261 7.9107e-06 0.8 7 64 64
0.361083 4.94099e-06 0.6 6 32 32
0.405621 2.97483e-06 0.7 7 64 64
0.455885 2.6774e-06 0.5 6 32 32
0.468566 2.27427e-06 0.6 7 32 32
0.500075 1.30048e-06 0.6 7 64 64
0.606645 1.14381e-06 0.5 7 32 32
0.640177 5.36251e-07 0.6 8 64 64
0.785384 4.996e-07 0.6 9 64 64
0.817274 8.50761e-09 0.5 6 128 128
0.92432 7.65431e-09 0.7 10 32 32
1.23856 7.56479e-09 0.5 10 64 64
1.45165 1.09568e-09 0.4 9 64 64
1.63942 8.86633e-10 0.5 10 256 256
1.79875 2.43347e-10 0.3 7 64 64
2.48496 1.86203e-11 0.3 8 128 128
3.8323 5.07053e-13 0.2 8 64 64
4.81956 4.41495e-13 0.2 10 128 128
5.0547 1.09011e-14 0.2 10 64 64
