mac p pairid sleaf tleaf time err_pol err_ionic err_sum pareto
0.2 6 0 32 32 9.05086 4.42949e-09 2.18771e-07 3.62667e-10 0
0.2 6 1 64 64 12.2999 1.90737e-09 4.74696e-08 1.52546e-10 0
0.2 6 2 128 128 16.3648 1.42198e-09 5.3228e-08 1.15108e-10 0
0.2 6 3 256 256 21.374 3.64695e-10 6.84288e-09 2.89943e-11 0
0.2 7 0 32 32 10.9713 1.43563e-09 3.70437e-08 1.1492e-10 0
0.2 7 1 64 64 13.0521 2.06975e-10 1.92008e-09 1.6303e-11 0
0.2 7 2 128 128 16.7609 3.96549e-10 1.02415e-08 3.17436e-11 0
0.2 7 3 256 256 21.4235 8.03693e-11 1.92746e-09 6.42199e-12 0
0.2 8 0 32 32 15.0299 2.26148e-11 1.58087e-09 1.64253e-12 0
0.2 8 1 64 64 14.5644 5.05188e-11 1.65226e-09 4.07107e-12 0
0.2 8 2 128 128 17.095 2.6723e-11 1.14052e-10 2.07693e-12 0
0.2 8 3 256 256 21.3845 1.7204e-12 2.51376e-11 1.36199e-13 0
0.2 9 0 32 32 19.4582 1.09122e-11 6.40981e-10 9.01374e-13 0
0.2 9 1 64 64 16.6151 5.88634e-12 5.85403e-11 4.63989e-13 0
0.2 9 2 128 128 18.0027 1.33851e-12 3.8765e-11 1.0741e-13 1
0.2 9 3 256 256 21.6394 4.06006e-12 7.40631e-11 3.22628e-13 0
0.2 10 0 32 32 25.422 2.27988e-12 1.48729e-10 1.89606e-13 0
0.2 10 1 64 64 18.9393 1.05917e-12 4.47252e-11 8.5968e-14 0
0.2 10 2 128 128 18.6851 1.85061e-13 1.36839e-11 1.54862e-14 1
0.2 10 3 256 256 21.9176 3.65671e-14 2.24952e-12 3.17665e-15 1
0.3 6 0 32 32 3.76714 2.86139e-08 2.88757e-06 2.45701e-09 0
0.3 6 1 64 64 5.33987 2.98821e-08 1.04042e-06 2.41288e-09 0
0.3 6 2 128 128 8.09022 2.58425e-09 2.4065e-07 2.20344e-10 0
0.3 6 3 256 256 12.9772 3.57595e-08 8.2931e-07 2.85524e-09 0
0.3 7 0 32 32 4.63344 8.86259e-09 3.23638e-07 6.6664e-10 0
0.3 7 1 64 64 5.77862 7.86848e-09 5.7294e-07 6.58518e-10 0
0.3 7 2 128 128 8.22258 2.72215e-09 1.98661e-07 2.27853e-10 0
0.3 7 3 256 256 12.9855 1.11525e-10 1.07772e-07 3.54395e-13 0
0.3 8 0 32 32 6.67363 2.8504e-09 3.11926e-07 2.46638e-10 0
0.3 8 1 64 64 6.82526 1.84913e-09 5.25035e-08 1.48391e-10 0
0.3 8 2 128 128 8.75773 7.67534e-10 1.63089e-08 6.11687e-11 0
0.3 8 3 256 256 13.2139 3.89274e-10 1.55541e-08 3.15876e-11 0
0.3 9 0 32 32 8.50129 4.77837e-10 8.65213e-08 4.39982e-11 0
0.3 9 1 64 64 7.6904 1.78525e-10 9.24854e-09 1.46501e-11 1
0.3 9 2 128 128 9.18644 7.35575e-10 1.80261e-08 5.88075e-11 0
0.3 9 3 256 256 13.3758 2.33679e-11 1.00433e-09 1.90162e-12 0
0.3 10 0 32 32 11.095 1.32661e-10 2.3598e-09 1.01712e-11 0
0.3 10 1 64 64 9.2602 5.65836e-12 7.53919e-10 4.99925e-13 1
0.3 10 2 128 128 10.0053 8.35621e-12 1.65169e-10 6.393e-13 0
0.3 10 3 256 256 13.838 2.4398e-11 5.50302e-10 1.94689e-12 0
0.4 6 0 32 32 2.0794 1.21494e-07 2.57124e-05 1.14747e-08 0
0.4 6 1 64 64 2.92197 4.89948e-07 1.82192e-05 3.96515e-08 0
0.4 6 2 128 128 4.40569 1.79962e-07 2.99126e-06 1.42776e-08 0
0.4 6 3 256 256 7.74073 1.04563e-07 4.01696e-06 8.47226e-09 0
0.4 7 0 32 32 2.56642 1.48404e-07 5.25891e-06 1.19902e-08 0
0.4 7 1 64 64 3.14723 2.1244e-08 3.32287e-06 1.91553e-09 0
0.4 7 2 128 128 4.55102 2.58359e-08 9.84881e-07 2.09278e-09 0
0.4 7 3 256 256 7.93895 2.3895e-08 6.49922e-07 1.91533e-09 0
0.4 8 0 32 32 3.63335 1.49238e-07 7.30265e-06 1.22136e-08 0
0.4 8 1 64 64 3.69216 2.15781e-08 8.35684e-07 1.74889e-09 0
0.4 8 2 128 128 4.81386 6.50163e-09 3.49513e-08 5.04737e-10 0
0.4 8 3 256 256 7.95022 1.3507e-08 3.53697e-07 1.08161e-09 0
0.4 9 0 32 32 4.73613 2.13501e-08 1.65463e-06 1.79456e-09 0
0.4 9 1 64 64 4.31411 9.04517e-09 2.7801e-07 7.27505e-10 0
0.4 9 2 128 128 5.23588 3.03378e-09 8.98591e-08 2.29821e-10 0
0.4 9 3 256 256 8.07519 2.89313e-09 5.10162e-08 2.29758e-10 0
0.4 10 0 32 32 6.1655 3.59168e-09 1.25347e-07 2.70615e-10 0
0.4 10 1 64 64 5.00169 2.86768e-09 3.91385e-08 2.20787e-10 0
