mac p pairid sleaf tleaf time err_pol err_ionic err_sum pareto
0.2 6 0 16 1024 2.12105 3.51097e-10 1.19313e-08 1.78217e-11 0
0.2 7 0 16 1024 2.31587 2.05339e-11 4.19471e-09 8.17621e-13 0
0.2 8 0 16 1024 2.46779 1.01607e-12 2.6478e-09 1.7139e-13 1
0.2 9 0 16 1024 2.64086 1.90467e-12 8.36821e-11 9.76139e-14 0
0.2 10 0 16 1024 3.03995 1.99097e-13 1.91348e-11 1.0846e-14 1
0.2 11 0 16 1024 3.51466 4.08791e-15 4.3321e-12 4.76747e-16 1
0.2 12 0 16 1024 4.25029 1.21123e-15 3.41067e-12 2.38373e-16 1
0.3 6 0 16 1024 1.13155 1.10835e-09 5.48081e-08 5.70472e-11 0
0.3 7 0 16 1024 1.25486 9.73746e-11 1.30254e-07 1.07707e-11 1
0.3 8 0 16 1024 1.43243 2.95435e-10 6.52561e-08 1.75312e-11 0
0.3 9 0 16 1024 1.65662 6.80677e-11 3.44316e-08 4.92956e-12 0
0.3 10 0 16 1024 1.80706 1.6586e-11 8.44822e-09 1.20379e-12 1
0.3 11 0 16 1024 2.30229 4.18012e-12 1.00455e-09 2.51722e-13 1
0.3 12 0 16 1024 2.6345 7.71102e-13 3.09497e-10 5.22038e-14 1
0.4 6 0 16 1024 0.593941 2.77505e-08 1.19698e-05 1.91485e-09 1
0.4 7 0 16 1024 0.660263 1.91686e-09 1.86256e-06 8.80396e-12 1
0.4 8 0 16 1024 0.765683 6.84173e-10 3.65222e-07 1.6895e-11 1
0.4 9 0 16 1024 0.889548 3.42981e-10 1.90597e-07 2.5625e-11 1
0.4 10 0 16 1024 1.07177 3.02566e-10 1.78763e-07 2.30929e-11 1
0.4 11 0 16 1024 1.29166 1.10953e-10 2.24416e-08 4.42874e-12 0
0.4 12 0 16 1024 1.63644 5.97332e-11 4.31633e-09 3.13723e-12 1
0.5 6 0 16 1024 0.395874 9.47805e-08 2.41791e-05 5.77327e-09 1
0.5 7 0 16 1024 0.448301 3.22996e-08 2.08002e-05 2.54406e-09 1
0.5 8 0 16 1024 0.530198 2.93166e-08 2.20737e-06 1.34106e-09 1
0.5 9 0 16 1024 0.631957 2.23254e-08 1.61726e-06 1.17267e-09 1
0.5 10 0 16 1024 0.764859 1.77213e-09 7.30314e-07 1.20717e-10 1
0.5 11 0 16 1024 0.931487 1.92529e-09 2.26464e-07 1.05122e-10 0
0.5 12 0 16 1024 1.16656 7.59684e-10 2.05189e-07 2.79571e-11 0
0.6 6 0 16 1024 0.296685 4.44557e-07 3.78448e-05 2.36099e-08 0
0.6 7 0 16 1024 0.340515 1.31506e-07 1.09495e-05 5.96749e-09 1
0.6 8 0 16 1024 0.406615 1.45468e-07 1.55329e-05 7.87022e-09 0
0.6 9 0 16 1024 0.494049 1.31749e-07 2.7163e-05 7.72913e-09 0
0.6 10 0 16 1024 0.604077 3.94933e-08 1.49062e-05 2.62741e-09 0
0.6 11 0 16 1024 0.747638 2.64643e-08 8.79619e-06 1.70587e-09 0
0.6 12 0 16 1024 0.941185 1.67502e-08 5.12352e-06 1.05933e-09 0
0.7 6 0 16 1024 0.233321 8.77931e-07 0.000173793 3.52161e-08 1
0.7 7 0 16 1024 0.276947 3.67771e-07 0.000422816 1.31625e-09 1
0.7 8 0 16 1024 0.334433 9.54339e-07 3.37371e-05 4.85028e-08 0
0.7 9 0 16 1024 0.418086 9.27199e-07 1.4676e-05 4.62925e-08 0
0.7 10 0 16 1024 0.506228 8.58986e-08 7.34342e-06 4.56338e-09 0
0.7 11 0 16 1024 0.627227 4.33311e-08 1.68741e-05 2.90658e-09 0
0.7 12 0 16 1024 0.803674 3.57702e-08 3.35638e-06 1.60583e-09 0
0.8 6 0 16 1024 0.201818 2.26491e-05 7.78273e-06 1.11399e-06 1
0.8 7 0 16 1024 0.23669 1.86327e-06 0.000267765 7.93812e-08 0
0.8 8 0 16 1024 0.298254 4.43476e-06 0.000476834 2.40083e-07 0
0.8 9 0 16 1024 0.360411 2.56095e-06 3.22305e-06 1.26148e-07 0
0.8 10 0 16 1024 0.449616 1.38921e-06 7.4031e-05 7.17483e-08 0
0.8 11 0 16 1024 0.565356 9.95018e-07 2.01196e-05 4.98791e-08 0
0.8 12 0 16 1024 0.711617 1.53131e-07 0.000100662 2.91286e-09 0
