time err mac p sleaf tleaf
0.201818 2.26491e-05 0.8 6 16 1024
0.233321 8.77931e-07 0.7 6 16 1024
0.276947 3.67771e-07 0.7 7 16 1024
0.340515 1.31506e-07 0.6 7 16 1024
0.395874 9.47805e-08 0.5 6 16 1024
0.448301 3.22996e-08 0.5 7 16 1024
0.530198 2.93166e-08 0.5 8 16 1024
0.593941 2.77505e-08 0.4 6 16 1024
0.631957 2.23254e-08 0.5 9 16 1024
0.660263 1.91686e-09 0.4 7 16 1024
0.764859 1.77213e-09 0.5 10 16 1024
0.765683 6.84173e-10 0.4 8 16 1024
0.889548 3.42981e-10 0.4 9 16 1024
1.07177 3.02566e-10 0.4 10 16 1024
1.25486 9.73746e-11 0.3 7 16 1024
1.63644 5.97332e-11 0.4 12 16 1024
1.80706 1.6586e-11 0.3 10 16 1024
2.30229 4.18012e-12 0.3 11 16 1024
2.46779 1.01607e-12 0.2 8 16 1024
2.6345 7.71102e-13 0.3 12 16 1024
3.03995 1.99097e-13 0.2 10 16 1024
3.51466 4.08791e-15 0.2 11 16 1024
4.25029 1.21123e-15 0.2 12 16 1024
