mac p pairid sleaf tleaf time err_pol err_ionic err_sum pareto
0.2 6 0 16 1024 6.24734 2.14731e-10 2.29792e-08 1.85399e-11 0
0.2 7 0 16 1024 6.59567 2.10464e-11 1.45093e-09 1.53035e-12 0
0.2 8 0 16 1024 7.30079 1.55028e-12 2.88842e-10 1.43346e-13 0
0.2 9 0 16 1024 8.21159 7.07016e-13 9.90897e-11 6.27388e-14 0
0.2 10 0 16 1024 9.28894 1.83153e-13 4.75204e-11 1.07212e-14 0
0.2 11 0 16 1024 10.934 1.11291e-14 1.41887e-12 9.92702e-16 1
0.2 12 0 16 1024 12.5339 9.85721e-15 4.21189e-13 9.92702e-16 1
0.3 6 0 16 1024 2.93683 5.33486e-10 4.95541e-07 3.24356e-12 0
0.3 7 0 16 1024 3.04024 1.17279e-09 4.72237e-08 9.51936e-11 0
0.3 8 0 16 1024 3.54594 1.81222e-11 3.88311e-08 4.42308e-12 0
0.3 9 0 16 1024 4.01195 3.00753e-11 1.33163e-08 3.37916e-12 0
0.3 10 0 16 1024 4.54329 2.57798e-11 3.81714e-09 2.30783e-12 0
0.3 11 0 16 1024 5.39849 3.13094e-12 1.55104e-10 2.56514e-13 1
0.3 12 0 16 1024 6.16442 1.59464e-13 1.84396e-11 1.36993e-14 1
0.4 6 0 16 1024 1.50402 6.07371e-08 6.67873e-07 4.68872e-09 0
0.4 7 0 16 1024 1.59086 9.8509e-09 1.82446e-06 9.10211e-10 0
0.4 8 0 16 1024 1.88374 4.21659e-09 8.14451e-07 3.92203e-10 0
0.4 9 0 16 1024 2.16258 2.23529e-09 1.69284e-07 1.87578e-10 0
0.4 10 0 16 1024 2.54378 2.04026e-10 3.41252e-08 1.328e-11 1
0.4 11 0 16 1024 3.03456 5.518e-11 2.16315e-08 5.98282e-12 1
0.4 12 0 16 1024 3.47807 1.46535e-11 1.08913e-10 1.13525e-12 1
0.5 6 0 16 1024 0.9412 2.99205e-07 2.04243e-05 2.49351e-08 0
0.5 7 0 16 1024 1.04363 1.12819e-07 2.1195e-06 8.64115e-09 0
0.5 8 0 16 1024 1.22056 1.34054e-08 4.56571e-06 1.40003e-09 0
0.5 9 0 16 1024 1.41891 1.70238e-08 1.09759e-06 1.41373e-09 0
0.5 10 0 16 1024 1.69976 1.21083e-09 1.83027e-07 1.08685e-10 0
0.5 11 0 16 1024 2.02179 4.93742e-10 2.29854e-07 5.6345e-11 1
0.5 12 0 16 1024 2.35551 1.05468e-09 5.76339e-08 8.6782e-11 0
0.6 6 0 16 1024 0.664052 4.81165e-07 5.42893e-05 4.17607e-08 1
0.6 7 0 16 1024 0.743716 4.34208e-07 3.48507e-05 3.65897e-08 0
0.6 8 0 16 1024 0.877297 9.36912e-08 1.55987e-05 8.52108e-09 1
0.6 9 0 16 1024 1.03805 3.6476e-08 3.47816e-07 2.81997e-09 0
0.6 10 0 16 1024 1.24873 2.8934e-09 1.82712e-06 8.42612e-11 0
0.6 11 0 16 1024 1.50495 1.53747e-08 6.43706e-07 1.24985e-09 0
0.6 12 0 16 1024 1.775 8.32327e-09 9.12212e-08 6.42555e-10 0
0.7 6 0 16 1024 0.50165 4.40642e-06 0.00010949 3.35433e-07 1
0.7 7 0 16 1024 0.610636 1.91216e-06 0.000135049 1.59705e-07 1
0.7 8 0 16 1024 0.67662 3.46963e-07 7.15212e-05 3.26216e-08 1
0.7 9 0 16 1024 0.840856 2.29566e-07 2.16334e-05 1.95936e-08 1
0.7 10 0 16 1024 1.03159 8.94243e-10 1.01261e-05 8.54365e-10 1
0.7 11 0 16 1024 1.20789 7.48121e-08 3.09081e-06 5.59953e-09 0
0.7 12 0 16 1024 1.43232 3.41239e-08 5.43901e-07 2.70548e-09 0
0.8 6 0 16 1024 0.434277 6.33753e-06 0.000854745 5.60863e-07 1
0.8 7 0 16 1024 0.515338 8.66119e-06 8.79618e-05 6.82812e-07 0
0.8 8 0 16 1024 0.585231 2.2154e-06 3.64116e-05 1.75731e-07 1
0.8 9 0 16 1024 0.705991 5.00563e-07 0.000177495 5.28207e-08 0
0.8 10 0 16 1024 0.854722 1.49468e-07 0.0001077 3.32127e-09 1
0.8 11 0 16 1024 1.04487 1.58846e-07 0.000111706 3.74286e-09 0
0.8 12 0 16 1024 1.22751 3.54876e-07 0.000103012 3.5679e-08 0
