time err mac p sleaf tleaf
0.434277 6.33753e-06 0.8 6 16 1024
0.50165 4.40642e-06 0.7 6 16 1024
0.585231 2.2154e-06 0.8 8 16 1024
0.610636 1.91216e-06 0.7 7 16 1024
0.664052 4.81165e-07 0.6 6 16 1024
0.67662 3.46963e-07 0.7 8 16 1024
0.840856 2.29566e-07 0.7 9 16 1024
0.854722 1.49468e-07 0.8 10 16 1024
0.877297 9.36912e-08 0.6 8 16 1024
1.03159 8.94243e-10 0.7 10 16 1024
2.02179 4.93742e-10 0.5 11 16 1024
2.54378 2.04026e-10 0.4 10 16 1024
3.03456 5.518e-11 0.4 11 16 1024
3.54594 1.81222e-11 0.3 8 16 1024
5.39849 3.13094e-12 0.3 11 16 1024
7.30079 1.55028e-12 0.2 8 16 1024
8.21159 7.07016e-13 0.2 9 16 1024
9.28894 1.83153e-13 0.2 10 16 1024
10.934 1.11291e-14 0.2 11 16 1024
