sleaf tleaf time t_build t_pol t_ionic
8 128 2.44117 0.104953 1.47931 0.861688
8 256 2.00303 0.102812 1.13409 0.773332
8 512 1.51189 0.103085 0.850237 0.564446
8 1024 1.59984 0.103141 0.854732 0.641972
8 2048 1.83163 0.10304 1.01451 0.714085
8 4096 2.44787 0.10356 1.35509 0.963938
16 128 1.92522 0.0873191 1.12731 0.71083
16 256 1.54416 0.0880092 0.893502 0.563683
16 512 1.35819 0.0873914 0.722211 0.546549
16 1024 1.53891 0.0876813 0.86032 0.590421
16 2048 1.90837 0.0868858 1.0541 0.766004
16 4096 2.68562 0.08944 1.51372 1.07667
32 128 1.68176 0.0791235 0.976749 0.658774
32 256 1.50449 0.0779889 0.851424 0.574346
32 512 1.57258 0.07965 0.874876 0.616533
32 1024 1.66302 0.0795468 0.926059 0.659387
32 2048 2.23266 0.077543 1.22833 0.905989
32 4096 3.09373 0.0775884 1.74997 1.27567
64 128 1.95805 0.0788958 1.08628 0.797668
64 256 1.92947 0.0782807 1.06162 0.789986
64 512 2.06627 0.0782304 1.16128 0.83136
64 1024 2.27188 0.0777919 1.25284 0.940302
64 2048 2.89282 0.0785061 1.64511 1.17994
64 4096 3.92277 0.0791397 2.17124 1.67322
