sleaf tleaf time t_build t_pol t_ionic
8 128 2.15379 0.234831 1.00071 0.911015
8 256 1.81724 0.235737 0.797431 0.78287
8 512 1.69356 0.234837 0.808112 0.636583
8 1024 1.48444 0.234242 0.690867 0.558452
8 2048 1.72526 0.23604 0.85908 0.614877
8 4096 1.98709 0.235164 0.93697 0.814955
16 128 1.77661 0.20104 0.786914 0.784015
16 256 1.52278 0.200247 0.660575 0.655947
16 512 1.44228 0.200908 0.65178 0.58773
16 1024 1.49871 0.201568 0.682537 0.604506
16 2048 1.53716 0.200889 0.700786 0.625941
16 4096 2.17213 0.200452 1.04411 0.921373
32 128 1.63729 0.185633 0.714786 0.736417
32 256 1.49846 0.185876 0.635322 0.668494
32 512 1.53393 0.185515 0.690275 0.645205
32 1024 1.45601 0.185675 0.633148 0.633919
32 2048 1.79279 0.186028 0.848723 0.75804
32 4096 2.62287 0.185396 1.29286 1.14453
64 128 1.79364 0.171677 0.765999 0.830613
64 256 1.82216 0.171386 0.786418 0.862732
64 512 1.80183 0.171551 0.772368 0.838347
64 1024 1.95939 0.171699 0.867447 0.918649
64 2048 2.419 0.171268 1.18711 1.06036
64 4096 3.36629 0.171712 1.68268 1.4825
