sleaf tleaf time t_build t_pol t_ionic
8 128 5.60176 0.114586 2.8192 2.66562
8 256 4.51243 0.114544 2.11406 2.28383
8 512 3.97395 0.116735 1.75218 2.10503
8 1024 3.41844 0.114218 1.39562 1.90881
8 2048 3.62619 0.115687 1.45686 2.05677
8 4096 5.18034 0.114313 2.47988 2.59897
16 128 4.78368 0.0958106 2.29713 2.38658
16 256 3.9757 0.0959209 1.77071 2.09167
16 512 3.60168 0.0963986 1.42327 2.08016
16 1024 3.84402 0.098131 1.60036 2.13668
16 2048 4.56389 0.0963339 1.97506 2.4455
16 4096 6.50179 0.0972668 3.05058 3.36438
32 128 4.98544 0.0855906 2.17305 2.71119
32 256 4.52804 0.0862912 1.98805 2.47165
32 512 4.55882 0.086104 1.96825 2.50541
32 1024 4.85539 0.0866817 1.95462 2.80591
32 2048 5.78067 0.0850233 2.37186 3.30713
32 4096 8.19892 0.0845009 3.68431 4.43011
64 128 6.51965 0.082645 2.79534 3.71227
64 256 6.27215 0.08194 2.66852 3.55031
64 512 6.53171 0.0828145 2.87404 3.6671
64 1024 7.18776 0.0820667 3.03843 4.06858
64 2048 8.39795 0.0819337 3.53691 4.77911
64 4096 11.3353 0.0822274 5.10148 6.08667
